Model,Test,Few(n),n,Prompt,r,ex_selector,s,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
flan-t5-xxl,asset-test,asset-valid,3,p0,1,random,95829907.66666667,87.85,3.93,61.93,40.92,35.6,8.73,87.78,86.92,86.52,90.51,83.55,86.96,110.26,146.41,63.5,12.95,92.0,99.0,40.22,86.65,0.9,1.04,0.9,0.3,0.06,0.15,8.53
flan-ul2,asset-test,asset-valid,3,p0,1,random,95829907.66666667,88.15,5.07,62.33,48.99,38.8,7.76,88.14,85.89,85.95,88.66,78.92,83.69,116.25,162.97,66.0,12.76,92.17,99.07,40.83,86.53,0.85,1.1,0.86,0.2,0.06,0.19,8.53
openai-text-davinci-002,asset-test,asset-valid,3,p2,1,random,163095907.66666666,81.34,9.35,63.57,55.74,42.89,7.74,86.39,87.14,85.8,84.89,78.61,81.7,101.23,140.42,67.61,11.96,91.3,98.99,38.19,85.07,0.91,1.17,0.83,0.05,0.13,0.2,8.46
flan-ul2,asset-test,asset-valid,3,p1,1,random,95829907.66666667,86.85,5.25,62.27,47.97,38.5,7.76,87.09,86.39,85.76,88.2,80.33,84.2,115.55,137.95,64.39,13.53,91.83,99.05,40.03,86.02,0.88,1.13,0.87,0.18,0.07,0.18,8.52
flan-t5-xl,asset-test,asset-valid,3,p0,1,random,95829907.66666667,87.05,3.57,61.69,41.76,35.67,8.55,87.35,85.79,85.68,89.7,81.74,85.65,114.37,141.77,62.44,12.78,92.02,99.01,40.39,86.76,0.88,1.05,0.88,0.26,0.06,0.17,8.54
openai-text-davinci-002,asset-test,asset-valid,3,p0,1,random,163095907.66666666,83.02,7.93,62.79,56.55,42.42,7.69,87.1,86.42,85.66,85.74,76.31,80.94,111.07,139.68,67.95,11.82,92.12,99.07,39.59,86.28,0.86,1.13,0.83,0.04,0.1,0.22,8.5
flan-t5-xl,asset-test,asset-valid,3,p2,1,random,95829907.66666667,81.79,7.34,62.89,52.98,41.07,7.16,86.09,85.75,85.06,85.22,78.73,81.95,109.39,128.39,64.74,14.36,90.64,98.79,39.13,85.86,0.89,1.25,0.85,0.1,0.12,0.2,8.5
flan-ul2,asset-test,asset-valid,3,p2,1,random,95829907.66666667,80.55,8.14,62.85,57.5,42.83,6.85,85.58,84.91,84.34,83.66,75.9,79.73,109.31,124.07,67.36,12.83,91.02,98.91,39.29,85.76,0.87,1.28,0.82,0.07,0.13,0.23,8.49
flan-t5-xxl,asset-test,asset-valid,3,p2,1,random,95829907.66666667,81.16,7.63,62.61,55.01,41.75,7.27,85.44,84.81,84.13,85.02,77.62,81.27,110.66,146.05,66.08,13.72,91.04,98.88,39.15,86.2,0.88,1.22,0.84,0.11,0.12,0.22,8.49
flan-t5-xl,asset-test,asset-valid,3,p1,1,random,95829907.66666667,83.95,4.11,61.24,46.48,37.28,8.18,84.77,84.12,83.56,85.89,78.07,81.91,131.62,171.79,59.0,16.01,92.05,99.0,39.89,85.58,0.87,1.06,0.87,0.13,0.08,0.19,8.54
flan-t5-xxl,asset-test,asset-valid,3,p1,1,random,95829907.66666667,83.97,4.29,61.44,45.25,36.99,8.4,84.3,84.59,83.48,86.07,79.35,82.64,125.35,146.53,60.28,14.98,91.96,99.06,40.09,85.78,0.9,1.06,0.87,0.17,0.08,0.18,8.55
openai-text-curie-001,asset-test,asset-valid,3,p0,1,random,163095907.66666666,78.81,6.38,61.33,51.46,39.72,8.3,84.24,84.34,83.3,85.06,78.53,81.74,95.16,111.41,63.5,13.79,90.94,98.84,38.94,85.05,0.92,1.1,0.85,0.08,0.11,0.19,8.52
flan-t5-small,asset-test,asset-valid,3,p0,1,random,95829907.66666667,83.03,2.57,60.31,41.74,34.87,8.66,84.7,83.41,83.13,88.77,81.46,85.05,116.01,128.24,56.97,16.78,91.81,98.83,40.08,86.38,0.89,1.04,0.9,0.28,0.06,0.16,8.53
openai-text-curie-001,asset-test,asset-valid,3,p2,1,random,163095907.66666666,77.52,6.71,60.74,52.15,39.87,8.33,83.56,83.79,82.75,83.91,77.4,80.6,98.36,125.81,63.02,14.03,91.32,98.88,39.18,85.16,0.91,1.09,0.84,0.07,0.12,0.2,8.52
openai-text-babbage-001,asset-test,asset-valid,3,p2,1,random,163095907.66666666,79.0,4.97,61.03,49.34,38.44,8.65,83.44,83.5,82.46,84.92,78.28,81.54,98.08,109.28,61.39,14.04,91.3,98.89,39.76,85.6,0.92,1.06,0.85,0.13,0.11,0.19,8.54
bloomz,asset-test,asset-valid,3,p0,1,random,95829907.66666667,78.01,5.42,60.53,47.6,37.85,8.19,82.92,83.32,82.25,85.47,80.56,82.98,107.12,148.49,61.21,14.4,90.8,98.94,38.88,84.33,0.93,1.13,0.86,0.16,0.11,0.17,8.52
